name,Cuisine_type,Dish Type,Units,protein,carbohydrate,total_fat,calories
Oats & Berries,Indian,Vegetarian,Per 100g,3.5,36.7,6.0,214.8
Broccoli Casserole,Indian,Low-Calorie,Per 100g,7.0,37.2,2.5,199.3
Rajma Chawal,Mexican,High-Protein,Per 100g,7.0,49.0,6.3,280.7
Pav Bhaji,Italian,Vegan,Per 100g,10.6,27.4,14.1,278.9
Biryani,Mexican,Keto-Friendly,Per 100g,8.7,24.0,5.8,183.0
Uttapam,Mexican,High-Protein,Per 100g,9.0,46.5,1.1,231.9
Tofu Scramble,Middle Eastern,High-Protein,Per 100g,7.3,49.9,15.5,368.3
Vegetable Korma,Indian,Gluten-Free,Per 100g,14.8,19.7,7.0,201.0
Kadhi Pakora,Indian,Low-Calorie,Per 100g,5.5,16.6,12.4,200.0
Jackfruit Curry,Italian,Keto-Friendly,Per 100g,6.1,34.4,7.3,227.7
Uttapam,Mexican,Low-Calorie,Per 100g,5.2,17.9,2.6,115.8
Thepla,Indian,Vegan,Per 100g,2.5,31.0,16.6,283.4
Methi Paratha,Asian,Vegetarian,Per 100g,6.5,24.4,13.3,243.3
Vegetable Sushi,Italian,Low-Calorie,Per 100g,2.5,28.7,3.1,152.7
Uttapam,Mexican,Vegan,Per 100g,13.5,35.7,16.1,341.7
Black Bean Tacos,Mexican,Keto-Friendly,Per 100g,4.6,22.7,19.0,280.2
Kadhi Pakora,Mexican,Low-Calorie,Per 100g,2.3,40.8,6.1,227.3
Avocado Toast,Middle Eastern,High-Protein,Per 100g,14.1,17.2,10.2,217.0
Vegetable Korma,Indian,Low-Calorie,Per 100g,7.2,26.6,15.4,273.8
Baingan Bharta,Indian,Vegetarian,Per 100g,14.0,6.1,3.9,115.5
Thepla,Middle Eastern,Low-Calorie,Per 100g,3.9,46.9,13.0,320.2
Rasam,Indian,Gluten-Free,Per 100g,11.9,7.5,2.3,98.3
Vegetable Sushi,Indian,Vegan,Per 100g,13.4,25.8,9.8,245.0
Tofu Scramble,Mediterranean,Vegetarian,Per 100g,10.7,18.4,18.2,280.2
Vegetable Sushi,Indian,High-Protein,Per 100g,14.1,23.1,1.3,160.5
Gobi Manchurian,Italian,Vegetarian,Per 100g,10.1,41.7,9.3,290.9
Oats & Berries,Asian,Vegan,Per 100g,10.6,43.7,12.0,325.2
Sweet Potato Stew,Italian,High-Protein,Per 100g,11.8,39.0,11.4,305.8
Bhindi Masala,American,Low-Calorie,Per 100g,7.7,30.3,8.7,230.3
Eggplant Parmesan,Italian,Vegan,Per 100g,11.4,46.4,9.3,314.9
Oats & Berries,Italian,Vegan,Per 100g,6.7,16.3,10.6,187.4
Uttapam,Asian,Gluten-Free,Per 100g,3.2,12.0,6.5,119.3
Methi Paratha,Middle Eastern,Keto-Friendly,Per 100g,12.7,41.8,15.5,357.5
